query,provider,latitude,longitude,display
"RUA FRANCISCO XAVIER AMARAL FILHO, 57 - RESIDENCIAL MONSENHOR ROMEU TORTORELLI - São Carlos/SP - CEP 13562-503",nominatim,-22.008231,-47.9208461,"Rua Francisco Xavier Amaral Filho, Residencial Monsenhor Romeu Tortorelli, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13562-420, Brasil"
"RUA LUIZ GUALTIERI, 315 - LOTE  01 AO 09 - PARQUE RESIDENCIAL MARIA STELLA FAGA - São Carlos/SP - CEP 13568-260",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA CONDE ROLAND VON FABER CASTELL, 226 - PARQUE DELTA - São Carlos/SP - CEP 13564-670",nominatim,-21.9907492,-47.8951631,"Rua Conde Roland Von Faber Castell, Parque Delta I, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13564-540, Brasil"
"RUA PADRE TEIXEIRA, 1350 - JARDIM BETHANIA - São Carlos/SP - CEP 13561-050",nominatim,-22.014222,-47.8967078,"Rua Padre Teixeira, Jardim Bethania, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-110, Brasil"
"RUA RUI BARBOSA, 630 - CENTRO - São Carlos/SP - CEP 13560-330",nominatim,-22.0149789,-47.8867445,"Rua Rui Barbosa, Jardim Macarengo, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-161, Brasil"
"RUA PROFESSORA MARIA ANGELICA MARCONDES, 56 - JARDIM CARDINALLI - São Carlos/SP - CEP 13569-550",arcgis,-22.021808078002,-47.875031371694,"Rua Professora Maria Angélica Marcondes 56, Jardim Cardinalli, São Carlos, São Paulo, 13569-550"
"RUA JOSE BONIFACIO, 565 - NUCLEO RESIDENCIAL SILVIO VILARI - São Carlos/SP - CEP 13560-610",nominatim,-22.0264646,-47.8934322,"Rua Joaquim Evangelista de Toledo, Jardim São Carlos, Núcleo Residencial Sílvio Vilari, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13560-610, Brasil"
"RUA RAFAEL ABREU SAMPAIO VIDAL, 2358 - FUNDOS - VILA ELIZABETH - São Carlos/SP - CEP 13560-050",arcgis,-22.008020012643,-47.882958970909,"Rua Doutor Rafael De Abreu Sampaio Vidal 2358, São Carlos, São Paulo, 13560-050"
"RUA SANTA CRUZ, 94 - SALA  01 - CENTRO - São Carlos/SP - CEP 13560-680",arcgis,-22.02343802062,-47.893779002081,"Rua Santa Cruz 94, São Carlos, São Paulo, 13560-680"
"AVENIDA SAO CARLOS, 3100 - CENTRO - São Carlos/SP - CEP 13560-002",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"RUA TRABALHO COM FRATERNIDADE, 10 - JARDIM BOTAFOGO - São Carlos/SP - CEP 13575-380",nominatim,-22.0221797,-47.9112421,"Rua Trabalho com Fraternidade, Jardim Botafogo, Condomínio Parque Faber III, Bela Vista São-Carlense, São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, 13561-352, Brasil"
"RUA LUCIO RODRIGUES, 21 - VILA PRADO - São Carlos/SP - CEP 13572-201",arcgis,-22.035033751779,-47.89020597988,"Rua Lúcio Rodrigues 21, Vila Morumbi, São Carlos, São Paulo, 13572-201"
"RODOVIA SP 215 - KM 145, KM 145 - CXPST 463 - RURAL - São Carlos/SP - CEP 13560-970",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
"AVENIDA CAPITAO LUIZ BRANDAO, 46 - VILA NERY - São Carlos/SP - CEP 13568-450",arcgis,-22.012427007785,-47.872802032099,"Avenida Capitao Luiz Brandao 46, Vila Nery, São Carlos, São Paulo, 13568-450"
"RUA MAJOR JULIO SALLES, 594 - SALA  03 - CENTRO - São Carlos/SP - CEP 13561-010",nominatim,-22.0180395,-47.891154,"São Carlos, Região Imediata de São Carlos, Região Geográfica Intermediária de Araraquara, São Paulo, Região Sudeste, Brasil"
